城ID,城名,日付
4,弘前城,2024/2/26
5,根城,2024/2/25
6,盛岡城,2023/11/11
7,多賀城,2024/2/5
8,仙台城,2024/2/4
9,久保田城,2024/6/9
10,山形城,2024/3/22
11,二本松城,2024/3/23
13,白河小峰城,2024/3/24
15,足利氏館(鑁阿寺),2023/9/4
19,川越城,2022/3/31
20,佐倉城,2022/3/29
21,江戸城,2022/4/1
22,八王子城,2022/3/27
23,小田原城,2022/3/30
24,武田氏館(武田神社),2024/3/16
25,甲府城,2024/3/16
26,松代城,2023/6/18
27,上田城,2023/6/19
28,小諸城,2023/6/19
29,松本城,2022/12/23
30,高遠城,2024/12/25
38,岩村城,2022/12/22
39,岐阜城,2023/8/25
40,山中城,2023/12/25
41,駿府城,2022/1/10
43,犬山城,2022/12/21
44,名古屋城,2022/3/8
45,岡崎城,2022/9/10
46,長篠城,2022/9/10
47,伊賀上野城,2024/12/28
48,松阪城,2023/2/5
49,小谷城,2022/5/4
51,安土城,2022/5/4
52,観音寺城,2022/11/4
54,大阪城,2024/4/6
55,千早城,2024/1/18
57,篠山城,2022/10/6
58,明石城,2022/5/16
59,姫路城,2023/3/28
61,高取城,2023/2/3
62,和歌山城,2022/3/17
64,松江城,2022-08-29
65,月山富田城,2023-03-15
66,津和野城,2023-03-16
63,鳥取城,2023-03-14
67,津山城,2023-08-18
69,鬼ノ城,2024-01-08
70,岡山城,2025-01-12
68,備中松山城,2023-08-05
71,福山城,2023-07-21
72,郡山城,2023-07-22
73,広島城,2023-07-21
74,岩国城,2024-11-03
75,萩城,2024-11-04
76,徳島城,2025-01-13
77,高松城,2023-03-03
78,丸亀城,2022-03-24
79,今治城,2024-04-04
80,湯築城,2024-04-05
81,松山城,2024-04-05
84,高知城,2023-03-05
85,福岡城,2022-08-12
86,大野城,2022-08-10
88,吉野ヶ里,2022-08-11
89,佐賀城,2022-08-11
87,名護屋城,2024-11-08
90,平戸城,2024-11-09
96,飫肥城,2024-05-17
97,鹿児島城,2024-05-16
100,首里城,2024-12-01
99,中城城,2024-11-30
94,大分府内城,2024-05-19
31,新発田城,2024-09-07
32,春日山城,2024-09-09
33,高岡城,2023-04-06
35,金沢城,2023-08-16
36,丸岡城,2022-03-13
83,宇和島城,2024-04-06
82,大洲城,2024-04-07
18,鉢形城,2022-03-31
91,島原城,2025-01-24
93,人吉城,2025-02-02
98,今帰仁城,2025-01-17
37,一乗谷城,2025-02-21
14,水戸城,2025-03-04
1,根室チャシ跡群,2025-03-24
2,五稜郭,2025-03-25
3,松前城,2025-03-26
12,会津若松城,2025-07-20
16,箕輪城,2025-04-27
17,金山城,2025-08-10
34,七尾城,2025-11-23
42,掛川城,2025-04-13
92,熊本城,2025-06-17
95,岡城,2025-12-13
53,二条城,2022-06-15
50,彦根城,2022-05-04
60,赤穂城,2022-12-11
